DESI_TARGETID,RA,DEC,Z,HA_BR_FLUX,HA_BR_FLUX_ERR,HA_BR_FWHM,HA_BR_FWHM_ERR,HA_NA_FLUX,HA_NA_FLUX_ERR,HA_NA_FWHM,HA_NA_FWHM_ERR,HB_BR_FLUX,HB_BR_FLUX_ERR,HB_BR_FWHM,HB_BR_FWHM_ERR,HB_NA_FLUX,HB_NA_FLUX_ERR,HB_NA_FWHM,HB_NA_FWHM_ERR,NII6548_FLUX,NII6548_FLUX_ERR,NII6583_FLUX,NII6583_FLUX_ERR,SII6716_FLUX,SII6716_FLUX_ERR,SII6731_FLUX,SII6731_FLUX_ERR,OIII4959_FLUX,OIII4959_FLUX_ERR,OIII5007_FLUX,OIII5007_FLUX_ERR,LOGLHA_BR,LOGLBOL,LOGMBH,LOGLEDD
39627256003306662,87.29362,-22.422,0.1747,71.35,2.59,1084.76,95.28,12.45,1.48,285.96,9.02,25.55,3.16,4493.7,477.75,1.16,0.63,235.33,13.63,6.54,0.24,19.35,0.71,2.62,0.55,1.81,0.36,4.37,0.22,13.03,0.64,40.78,43.29,6.0,-0.81
39627641048795442,65.37779,-5.90459,0.2313,38.8,3.04,1162.5,214.72,28.33,1.39,248.38,7.11,,,,,10.51,1.51,434.38,13.84,5.75,0.25,17.03,0.73,10.93,0.51,9.86,0.79,28.34,0.65,84.46,1.94,40.79,43.3,6.07,-0.87
39627683188970992,65.57309,-4.31454,0.202,47.05,3.82,1389.4,228.95,9.93,2.01,292.04,35.24,,,,,2.19,1.0,366.09,26.85,2.52,0.47,7.45,1.4,2.88,0.63,4.17,0.66,11.34,0.45,33.8,1.34,40.74,43.26,6.21,-1.05
39627737052218074,38.26702,-2.00752,0.3297,367.53,11.46,721.89,45.41,102.31,8.06,225.91,5.06,73.75,4.4,600.71,24.18,22.17,3.72,257.88,9.45,16.29,0.65,48.23,1.94,15.04,0.56,11.85,0.53,13.63,0.36,40.63,1.06,42.12,44.45,6.24,0.11
39627758086654149,212.10936,-1.20555,0.1994,171.02,13.51,988.84,135.3,15.73,10.08,339.33,65.87,32.04,7.5,621.18,175.34,10.71,5.2,195.23,41.79,4.22,0.99,12.48,2.92,7.51,1.72,5.96,1.64,8.26,1.24,24.63,3.71,41.29,43.73,6.15,-0.52
39627758233454898,220.84619,-1.29038,0.3693,128.84,4.98,715.16,59.68,19.18,3.72,106.92,13.22,14.46,2.51,2565.24,666.65,19.27,1.39,233.05,17.07,1.16,0.2,3.42,0.61,2.37,0.36,1.48,0.37,18.08,0.47,53.87,1.4,41.78,44.15,6.08,-0.02
39627764273252802,220.84192,-1.06416,0.1319,166.87,30.75,862.39,570.01,29.72,30.05,247.44,127.67,51.74,8.15,1384.29,306.51,5.62,2.35,114.61,14.21,1.54,0.74,4.56,2.19,13.23,6.27,3.16,2.06,6.67,0.7,19.88,2.08,40.89,43.38,5.84,-0.56
39627769646154708,181.04005,-0.82888,0.1093,1005.73,15.93,608.57,6.88,118.89,8.92,227.76,7.62,47.07,6.2,2491.82,683.6,75.57,3.7,346.69,4.97,17.69,1.73,52.37,5.11,33.69,1.34,28.18,1.2,142.71,1.33,425.27,3.97,41.49,43.9,5.8,-0.0
39627776193462497,211.25827,-0.47552,0.0841,617.38,10.05,683.51,21.1,169.28,5.04,140.21,2.63,141.76,9.37,1139.3,144.15,62.78,3.81,143.14,2.86,15.51,0.57,45.9,1.69,48.95,1.64,40.7,1.48,92.65,1.43,276.09,4.27,41.04,43.51,5.7,-0.29
39627776222825324,213.14447,-0.58334,0.1267,1056.04,13.1,817.66,28.14,33.48,5.64,104.25,13.61,213.21,12.54,1269.98,82.57,33.63,7.12,205.41,17.95,8.27,1.23,24.49,3.64,6.89,1.61,7.61,1.63,40.11,2.07,119.54,6.16,41.65,44.04,6.14,-0.2
39627781742528414,182.09947,-0.21845,0.2037,97.02,3.51,1297.08,45.5,27.99,2.31,170.47,6.95,,,,,6.79,0.95,140.75,8.31,3.49,0.3,10.34,0.88,6.97,0.46,4.44,0.5,17.48,0.5,52.08,1.5,41.07,43.54,6.29,-0.85
39627782237456774,211.62543,-0.32766,0.1063,1349.95,7.68,850.05,12.94,179.4,5.68,190.12,3.42,178.86,5.14,963.54,70.56,30.91,2.28,191.28,2.26,5.93,0.49,17.55,1.46,14.05,0.6,10.76,0.55,62.07,0.6,184.96,1.77,41.59,43.99,6.15,-0.26
39627787761355189,180.8828,-0.08158,0.1191,179.64,7.27,698.54,48.26,36.68,2.23,95.87,4.41,,,,,21.4,1.76,193.45,9.1,6.85,0.45,20.28,1.33,8.94,0.87,6.85,0.76,20.03,0.76,59.7,2.28,40.82,43.33,5.63,-0.4
39627788344367563,215.72707,-0.02355,0.188,57.2,5.92,1428.04,162.01,30.74,2.92,216.36,14.33,38.1,10.3,3744.92,1097.15,12.32,3.46,246.89,33.69,6.23,0.7,18.44,2.06,3.96,1.46,3.9,1.28,16.07,1.46,47.9,4.35,40.76,43.27,6.24,-1.07
39627788403082754,219.05333,0.096,0.3016,69.92,3.9,649.8,34.99,28.55,2.42,102.69,4.33,13.09,1.62,855.38,126.34,8.89,0.78,125.38,5.59,2.8,0.2,8.28,0.59,4.36,0.38,2.16,1.16,9.96,0.28,29.68,0.85,41.31,43.75,5.78,-0.13
39627794413519296,217.26799,0.31977,0.0874,295.81,19.88,684.94,39.11,256.58,12.91,199.71,3.74,,,,,61.43,2.62,176.46,6.35,46.44,1.71,137.45,5.05,53.15,1.95,44.43,1.85,60.13,1.58,179.18,4.71,40.75,43.26,5.58,-0.41
39627794468048264,220.65341,0.20805,0.3024,77.24,2.8,986.73,83.5,29.67,1.82,180.73,7.57,14.76,2.48,1738.12,437.02,8.43,0.8,160.16,4.76,1.58,0.18,4.67,0.54,3.45,0.41,3.16,0.94,8.61,0.26,25.66,0.78,41.36,43.79,6.18,-0.49
39627799748675981,175.35863,0.51689,0.1429,64.29,3.67,1327.4,159.18,8.73,0.83,168.5,11.98,15.01,4.64,4643.26,418.88,1.34,0.76,229.26,26.05,2.31,0.31,6.85,0.92,3.21,0.48,3.16,0.51,10.88,0.56,32.41,1.67,40.55,43.09,6.08,-1.09
39627806417622778,212.98239,0.83931,0.2009,238.84,10.84,703.88,62.2,103.93,7.11,202.3,6.68,31.74,6.44,1104.32,643.0,33.17,7.3,254.66,22.68,15.6,0.78,46.16,2.31,16.22,1.04,11.9,1.03,11.04,0.72,32.89,2.15,41.44,43.86,5.91,-0.15
39627806535059205,219.81831,0.68948,0.3441,105.63,5.14,839.25,51.55,39.67,3.8,185.89,13.56,,,,,14.71,2.05,166.4,32.94,7.44,0.54,22.03,1.6,4.92,0.99,3.86,1.43,2.66,0.52,7.94,1.54,41.62,44.02,6.15,-0.23
39627812528719254,217.07008,1.07422,0.3787,210.33,10.45,625.45,25.27,168.1,6.92,160.59,2.42,,,,,46.7,1.74,180.42,5.79,23.38,0.83,69.2,2.46,26.79,0.83,19.92,0.75,6.36,0.34,18.96,1.01,42.02,44.36,6.07,0.19
39627818560127030,216.50081,1.14999,0.3661,29.4,1.12,634.77,31.02,4.52,0.34,95.36,5.67,9.87,0.99,2157.67,302.85,1.53,0.2,120.34,4.8,0.53,0.06,1.56,0.19,1.13,0.15,0.88,0.13,2.43,0.08,7.24,0.24,41.13,43.59,5.68,-0.19
39627821617777290,38.8306,1.58834,0.0787,1070.17,14.47,838.42,28.9,68.29,8.41,198.16,10.17,118.25,10.91,1112.26,133.79,36.15,7.91,261.81,6.93,13.75,1.06,40.69,3.14,26.54,2.31,24.18,1.73,150.0,2.79,447.01,8.31,41.21,43.66,5.97,-0.4
39627871769067582,148.70847,3.45216,0.0907,284.83,12.3,994.91,133.84,46.46,7.69,254.18,12.18,43.68,15.26,4614.03,485.78,4.73,2.83,290.73,20.54,20.46,1.17,60.56,3.45,13.95,2.03,10.24,2.64,34.87,2.24,103.93,6.69,40.77,43.28,5.92,-0.74
39627872700203168,204.29042,3.59894,0.1354,658.6,9.22,632.5,12.18,93.68,5.53,265.52,4.4,70.93,5.67,1688.47,162.56,25.66,2.06,220.0,4.72,83.73,1.1,247.85,3.25,45.2,1.97,40.32,1.48,74.34,0.85,221.54,2.55,41.51,43.92,5.85,-0.03
39627878970691355,218.71089,3.64508,0.0284,728.72,41.77,1436.39,47.94,217.34,21.45,130.85,4.0,149.68,13.42,1772.75,195.41,61.32,5.76,163.77,7.78,46.2,4.41,136.76,13.05,39.36,3.75,39.73,3.85,78.15,2.6,232.9,7.75,40.13,42.73,5.96,-1.33
39627933010102730,208.75148,5.91698,0.083,980.28,19.21,943.15,36.27,103.37,11.44,230.47,9.99,48.63,15.48,756.24,239.84,101.31,15.56,428.17,46.89,36.84,2.07,109.04,6.13,33.36,4.54,30.28,3.89,41.03,2.49,122.25,7.42,41.22,43.67,6.08,-0.5
39627974835702656,197.54361,7.73107,0.1699,154.25,4.58,602.31,42.32,32.53,4.06,194.61,9.35,,,,,13.53,1.2,210.46,11.63,7.97,0.55,23.6,1.62,5.11,0.64,6.62,0.58,8.77,0.39,26.15,1.16,41.09,43.56,5.61,-0.16
39628145275440904,115.25572,15.0348,0.1047,301.95,4.54,872.41,33.13,223.88,2.38,203.87,1.21,81.84,3.96,580.21,18.33,39.54,2.08,172.04,2.73,30.27,0.36,89.59,1.08,45.59,0.69,35.47,0.68,64.84,0.66,193.21,1.95,40.93,43.42,5.87,-0.56
39628279669329201,242.43561,20.7147,0.3826,46.56,1.79,940.64,51.66,8.82,1.02,206.52,16.94,9.2,1.05,1127.47,173.38,1.2,0.39,147.81,5.24,1.7,0.15,5.02,0.46,1.32,0.29,1.11,0.49,4.46,0.14,13.28,0.43,41.37,43.8,6.14,-0.44
39628335235468590,210.10129,23.13874,0.3189,99.4,2.19,1044.16,44.8,11.12,1.14,261.53,10.25,11.67,1.38,983.81,101.48,2.98,0.77,255.92,7.77,5.65,0.28,16.74,0.84,1.94,0.32,2.42,0.31,9.05,0.22,26.96,0.66,41.52,43.93,6.3,-0.47
39628427904420270,194.44894,27.40424,0.2795,192.4,6.11,840.02,153.28,5.81,4.54,446.52,10.84,,,,,0.37,0.28,441.06,20.4,22.37,0.66,66.22,1.97,10.58,0.86,7.67,0.92,21.15,0.57,63.04,1.69,41.67,44.06,6.17,-0.21
39628438599894970,193.69684,28.01445,0.0907,75.3,3.38,981.6,63.49,32.05,2.45,229.39,11.29,,,,,17.9,2.04,368.1,12.48,8.19,0.41,24.24,1.2,12.23,0.96,13.69,1.19,92.29,1.16,275.02,3.45,40.19,42.78,5.65,-0.97
39628521445788579,125.14841,32.06292,0.3934,78.99,3.14,937.71,92.58,2.15,2.34,497.25,2.98,26.56,2.97,4924.83,92.67,4.36,1.07,482.38,44.25,6.47,0.27,19.15,0.79,14.04,0.83,9.6,1.13,7.1,0.43,21.17,1.28,41.63,44.03,6.25,-0.33
39632944851062843,115.19088,33.1717,0.2548,230.07,3.6,947.68,18.69,54.23,1.97,206.91,2.99,56.24,1.3,1023.84,29.88,13.39,0.71,165.66,1.53,12.71,0.35,37.62,1.05,6.65,0.46,5.8,0.27,46.87,0.3,139.67,0.9,41.66,44.05,6.28,-0.33
39632955290683567,139.40865,33.66084,0.1729,166.72,2.36,884.29,31.6,116.45,1.86,94.1,0.9,27.57,2.15,1858.16,201.85,34.42,0.74,116.31,1.41,8.91,0.18,26.38,0.52,14.9,0.35,12.74,0.29,44.99,0.33,134.07,0.99,41.14,43.6,5.98,-0.48
39632966439142286,218.96797,34.2293,0.0449,406.29,11.99,598.71,14.09,57.13,5.37,139.75,8.23,,,,,51.37,4.97,200.69,43.24,11.07,0.88,32.76,2.59,19.56,1.91,16.77,1.87,44.36,2.65,132.18,7.91,40.28,42.86,5.25,-0.49
39632966908905289,252.77573,34.19566,0.1287,199.13,8.21,871.24,65.7,123.58,7.21,186.4,6.86,33.48,12.39,2590.09,1407.51,49.64,4.84,285.98,15.6,25.64,0.99,75.9,2.94,16.17,1.89,10.2,3.57,25.98,1.33,77.42,3.97,40.94,43.43,5.88,-0.55
39632966925683831,254.08698,34.26483,0.2203,173.84,3.66,604.94,13.13,41.46,2.05,125.38,5.36,36.97,3.45,1388.22,186.11,16.43,1.53,139.08,4.79,2.0,0.19,5.92,0.58,4.23,0.47,4.61,0.42,27.59,0.6,82.23,1.78,41.39,43.82,5.76,-0.03
39632985040880377,125.0521,35.34828,0.1435,1356.49,8.49,736.98,13.12,27.77,6.02,234.04,9.39,283.73,7.73,874.75,41.01,34.81,6.86,324.55,5.17,9.75,0.64,28.86,1.88,11.41,0.59,11.28,0.61,97.35,0.88,290.11,2.62,41.87,44.24,6.15,-0.01
39633001075704701,217.67363,35.95106,0.1682,324.11,7.8,730.33,27.45,29.29,2.73,128.48,7.98,86.19,7.72,1984.51,203.22,22.09,2.86,182.0,9.44,6.54,0.47,19.36,1.38,9.69,0.95,7.68,0.91,20.48,1.02,61.02,3.03,41.4,43.83,5.93,-0.2
39633023989186874,115.52905,37.33009,0.235,54.22,2.15,1379.57,146.36,32.39,1.08,274.41,4.49,37.47,3.62,4897.7,128.17,8.99,0.84,272.02,9.38,4.41,0.22,13.07,0.65,9.38,0.48,7.44,0.43,9.66,0.29,28.78,0.86,40.95,43.44,6.29,-0.96
39633034068099725,150.10419,37.70963,0.2795,180.51,8.39,872.05,72.77,130.49,6.84,337.67,7.83,20.57,7.83,4329.3,843.56,40.7,2.71,283.35,12.18,18.27,0.72,54.09,2.13,17.12,0.88,13.93,0.94,18.44,0.84,54.95,2.5,41.65,44.04,6.2,-0.26
39633114183501519,237.12192,41.9265,0.2205,161.1,8.78,691.75,42.52,43.51,3.58,136.44,8.84,18.7,5.18,738.39,198.84,15.32,3.18,187.76,10.01,3.7,0.49,10.96,1.46,5.6,1.05,5.67,1.02,15.18,0.66,45.24,1.97,41.36,43.79,5.86,-0.17
39633136438476920,235.78848,43.35416,0.2348,215.28,3.28,874.79,31.96,9.2,1.26,163.5,12.31,52.37,3.56,1878.92,152.42,8.16,1.87,301.62,13.78,3.18,0.3,9.42,0.87,2.94,0.74,3.15,0.48,18.67,0.61,55.62,1.83,41.55,43.96,6.15,-0.3
39633136555919253,245.49268,43.21007,0.0718,407.37,18.0,1205.6,59.75,216.78,12.06,135.63,3.76,155.92,18.69,1422.02,347.94,35.41,4.98,135.87,5.46,43.4,2.31,128.46,6.85,48.07,3.54,34.22,2.94,71.17,1.97,212.1,5.86,40.71,43.23,6.06,-0.94
39633145330403453,244.6498,43.784,0.2089,185.11,4.0,937.67,36.72,36.19,3.79,211.03,16.71,55.76,5.14,1184.92,129.21,9.76,2.05,151.29,8.02,3.52,0.4,10.41,1.19,4.09,0.81,4.0,0.85,16.56,0.84,49.35,2.49,41.37,43.8,6.14,-0.44
39633149696674956,244.64972,44.12139,0.2072,263.5,9.52,879.94,27.39,54.44,14.59,345.49,205.03,159.17,11.11,1049.28,103.36,12.61,6.95,424.41,31.53,34.67,4.61,102.62,13.64,0.05,0.45,5.18,2.53,14.29,0.85,42.58,2.53,41.52,43.93,6.14,-0.32
39633275194442864,213.93742,51.78593,0.2333,169.61,11.92,820.44,71.44,54.56,9.42,243.14,19.33,40.15,6.5,1213.69,197.66,15.42,4.77,215.95,68.24,7.38,0.65,21.83,1.92,8.01,1.84,7.08,1.49,2.29,0.58,6.84,1.73,41.44,43.86,6.05,-0.29
39633285881531943,167.6914,52.60336,0.3811,160.18,2.1,641.38,12.09,47.92,1.41,157.26,2.49,17.45,1.52,521.32,16.0,21.25,1.52,183.04,7.86,6.13,0.13,18.16,0.39,6.57,0.18,5.76,0.22,2.31,0.11,6.89,0.32,41.91,44.26,6.04,0.13
39633318978781375,240.88148,54.8421,0.3994,264.7,15.64,562.36,24.3,214.73,11.83,222.82,6.1,,,,,87.02,2.65,332.1,6.84,22.43,1.08,66.4,3.21,48.09,2.36,45.13,3.0,56.94,1.03,169.69,3.07,42.17,44.49,6.04,0.35
39633319003949540,243.66826,54.65224,0.2288,329.26,9.28,812.74,47.0,49.19,4.05,219.37,8.58,39.42,8.22,2947.74,715.75,23.3,4.01,306.68,55.54,10.77,0.73,31.89,2.15,12.4,1.19,11.74,1.22,10.33,0.97,30.79,2.9,41.71,44.09,6.16,-0.17
39633325962300396,244.49951,55.36911,0.2664,18.57,1.37,1382.31,133.24,2.75,0.46,72.58,125.43,,,,,1.63,0.38,121.26,18.45,0.09,0.07,0.25,0.21,0.45,0.38,0.3,0.16,0.99,0.12,2.94,0.36,40.61,43.14,6.14,-1.1
39633328797648959,180.6776,55.55227,0.1762,110.44,7.06,533.2,13.59,126.01,3.72,159.66,3.51,,,,,44.39,3.0,131.39,6.2,9.67,0.34,28.62,1.0,20.94,0.88,13.37,0.89,40.34,1.5,120.22,4.46,40.98,43.46,5.46,-0.09
39633338981418326,177.90875,56.22553,0.0509,1594.49,19.93,884.3,21.93,439.43,11.12,164.29,1.68,285.55,8.56,916.92,37.28,102.85,5.14,169.94,1.93,133.08,1.83,393.91,5.43,128.95,2.07,116.21,2.1,318.57,2.05,949.33,6.1,40.99,43.47,5.91,-0.54
39633365313259365,185.92839,58.24613,0.0146,4147.31,15.71,866.23,12.35,714.61,7.93,125.81,1.04,882.48,17.97,1478.42,44.36,165.44,4.18,128.32,0.81,65.81,1.13,194.8,3.36,105.89,1.86,119.83,2.0,782.65,2.85,2332.3,8.5,40.3,42.87,5.58,-0.81
39633408460065585,269.04648,61.86262,0.3899,108.85,9.23,906.7,67.12,33.75,7.39,170.28,19.0,37.32,2.75,622.46,37.83,2.09,1.38,261.3,14.98,4.46,0.5,13.21,1.48,1.98,1.17,2.7,0.91,9.05,0.42,26.97,1.25,41.76,44.14,6.28,-0.24
39633561279532092,170.73854,82.27387,0.0188,95.45,3.25,3096.98,278.87,1.57,1.46,474.14,34.37,,,,,0.49,0.45,345.56,135.67,0.77,0.44,2.29,1.29,0.44,0.36,1.13,0.45,0.16,0.16,0.49,0.48,38.88,41.65,6.09,-2.54
39633563607369660,145.08304,82.89219,0.1781,862.75,3.21,660.09,4.48,49.65,1.08,107.9,1.58,188.57,4.16,774.37,36.73,23.74,1.97,107.63,2.75,10.84,0.2,32.07,0.58,8.23,0.6,6.34,0.43,24.8,0.6,73.91,1.78,41.88,44.24,6.05,0.09
2305843018801874883,217.93158,33.02605,0.1416,765.85,28.56,780.63,61.2,251.79,19.38,243.33,7.7,127.46,20.39,569.3,51.97,109.99,23.32,345.52,21.09,32.85,1.86,97.23,5.51,46.29,2.66,32.4,2.47,76.72,3.2,228.63,9.53,41.61,44.01,6.08,-0.17
